customer_id,customer_type,customer_name,company_name,pan_number,cin_number,date_of_birth,registration_status,pep_status,transaction_id,transaction_amount,transaction_date,sender_country,receiver_country,transaction_type,transaction_purpose,transaction_frequency,monthly_avg_amount,aml_risk,true_label
CUST10000,Business,,Jones PLC,,CIN636187,,Inactive,No,TXN20000,223167,03-03-2025,India,Italy,RTGS,Salary Disbursement,Occasional,1244233,Medium,Medium
CUST10001,Individual,Kellie Cruz,,XHhIl1632Q,,19-11-1958,,Yes,TXN20001,436601,23-05-2025,Yemen,Italy,RTGS,Personal Transfer,Irregular,141996,High,High
CUST10002,Individual,Mark Mccullough,,uuMHS4364d,,22-10-1978,,No,TXN20002,155581,16-12-2025,Australia,USA,UPI,Travel Expense,Irregular,110432,Medium,Medium
CUST10003,Individual,Adam Salazar,,SXrQB5053b,,23-10-1984,,No,TXN20003,299981,21-04-2025,United States,India,SWIFT,Education,Irregular,76275,High,Medium
CUST10004,Individual,Alyssa Reyes,,wcsVn2147Q,,13-12-1996,,No,TXN20004,1378782,12-12-2025,Germany,New Zealand,SWIFT,Travel Expense,Irregular,238085,High,High
CUST10005,Business,,"Saunders, Davis and Valdez",,CIN840492,,Active,No,TXN20005,7074,19-08-2025,Iran,South Korea,UPI,Vendor Payment,Regular,1124312,Low,Low
CUST10006,Business,,Garcia Ltd,,CIN962035,,Active,No,TXN20006,4577,29-06-2025,Iraq,Chile,SWIFT,Invoice Settlement,Regular,671563,Low,Low
CUST10007,Individual,Tracy Taylor,,BcgVx9542e,,20-12-1980,,No,TXN20007,387860,05-09-2025,United Kingdom,New Zealand,SWIFT,Medical,Regular,43158,Medium,High
CUST10008,Individual,Kimberly Robbins,,nGeqB9507M,,19-01-2005,,No,TXN20008,71320,29-09-2025,Iraq,Thailand,RTGS,Travel Expense,Regular,199770,Low,Low
CUST10009,Business,,"Stephens, Parker and Daniels",,CIN898849,,Inactive,No,TXN20009,481879,27-04-2025,Australia,Morocco,UPI,Salary Disbursement,Occasional,1145419,Medium,High
